,,3 ,3 ,3 ,3 ,3 ,3 ,3 ,12 ,12 ,12 ,12 ,12 ,12 ,12 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,16 ,16 ,16 ,16 ,16 ,16 ,16 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,19 ,19 ,19 ,19 ,19 ,19 ,19 ,21 ,21 ,21 ,21 ,21 ,21 ,21 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,23 ,23 ,23 ,23 ,23 ,23 ,23 ,22 ,22 ,22 ,22 ,22 ,22 ,22 ,18 ,18 ,18 ,18 ,18 ,18 ,18 ,17 ,17 ,17 ,17 ,17 ,17 ,17 ,20 ,20 ,20 ,20 ,20 ,20 ,20 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,9 ,9 ,9 ,9 ,9 ,9 ,9 ,11 ,11 ,11 ,11 ,11 ,11 ,11 ,4 ,4 ,4 ,4 ,4 ,4 ,4 
Date,Screened,3.stocked,3.restocked,3.morts,3.setters,3.expected,3.actual,3.density,12.stocked,12.restocked,12.morts,12.setters,12.expected,12.actual,12.density,8.stocked,8.restocked,8.morts,8.setters,8.expected,8.actual,8.density,10.stocked,10.restocked,10.morts,10.setters,10.expected,10.actual,10.density,5.stocked,5.restocked,5.morts,5.setters,5.expected,5.actual,5.density,7.stocked,7.restocked,7.morts,7.setters,7.expected,7.actual,7.density,16.stocked,16.restocked,16.morts,16.setters,16.expected,16.actual,16.density,13.stocked,13.restocked,13.morts,13.setters,13.expected,13.actual,13.density,19.stocked,19.restocked,19.morts,19.setters,19.expected,19.actual,19.density,21.stocked,21.restocked,21.morts,21.setters,21.expected,21.actual,21.density,24.stocked,24.restocked,24.morts,24.setters,24.expected,24.actual,24.density,23.stocked,23.restocked,23.morts,23.setters,23.expected,23.actual,23.density,22.stocked,22.restocked,22.morts,22.setters,22.expected,22.actual,22.density,18.stocked,18.restocked,18.morts,18.setters,18.expected,18.actual,18.density,17.stocked,17.restocked,17.morts,17.setters,17.expected,17.actual,17.density,20.stocked,20.restocked,20.morts,20.setters,20.expected,20.actual,20.density,1.stocked,1.restocked,1.morts,1.setters,1.expected,1.actual,1.density,9.stocked,9.restocked,9.morts,9.setters,9.expected,9.actual,9.density,11.stocked,11.restocked,11.morts,11.setters,11.expected,11.actual,11.density,4.stocked,4.restocked,4.morts,4.setters,4.expected,4.actual,4.density
5/19/17,N,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,350 ,0 ,0 ,0 ,NA,NA,350 ,0 ,0 ,0 ,0 ,NA,NA,0 ,80640 ,0 ,0 ,0 ,NA,NA,80640 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,11917 ,0 ,0 ,0 ,NA,NA,11917 ,2042 ,0 ,0 ,0 ,NA,NA,2042 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 
5/20/17,N,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,350 ,0 ,0 ,0 ,0 ,NA,NA,0 ,124960 ,0 ,0 ,0 ,NA,NA,205600 ,187333 ,0 ,0 ,0 ,NA,NA,187333 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,108000 ,0 ,0 ,0 ,NA,NA,108000 ,0 ,0 ,0 ,0 ,NA,NA,11917 ,89667 ,0 ,0 ,0 ,NA,NA,91708 ,0 ,0 ,0 ,0 ,NA,NA,0 ,11867 ,0 ,0 ,0 ,NA,NA,11867 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 
5/21/17,N,0 ,0 ,0 ,0 ,NA,NA,0 ,55300 ,0 ,0 ,0 ,NA,NA,55300 ,0 ,0 ,0 ,0 ,NA,NA,350 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,205600 ,53833 ,0 ,0 ,0 ,NA,NA,241167 ,8167 ,0 ,0 ,0 ,NA,NA,8167 ,99433 ,0 ,0 ,0 ,NA,NA,99433 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,13250 ,0 ,0 ,0 ,NA,NA,121250 ,0 ,0 ,0 ,0 ,NA,NA,11917 ,0 ,0 ,0 ,0 ,NA,NA,91708 ,53900 ,0 ,0 ,0 ,NA,NA,53900 ,0 ,0 ,0 ,0 ,NA,NA,11867 ,0 ,0 ,0 ,0 ,NA,NA,0 ,144733 ,0 ,0 ,0 ,NA,NA,144733 ,0 ,0 ,0 ,0 ,NA,NA,0 
5/22/17,N,0 ,0 ,0 ,0 ,NA,NA,0 ,583 ,0 ,0 ,0 ,NA,NA,55883 ,467 ,0 ,0 ,0 ,NA,NA,817 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,205600 ,0 ,0 ,0 ,0 ,NA,NA,241167 ,24500 ,0 ,0 ,0 ,NA,NA,32667 ,51000 ,0 ,0 ,0 ,NA,NA,150433 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,0 ,0 ,0 ,0 ,NA,NA,0 ,625 ,0 ,0 ,0 ,NA,NA,121875 ,0 ,0 ,0 ,0 ,NA,NA,11917 ,0 ,0 ,0 ,0 ,NA,NA,91708 ,1800 ,0 ,0 ,0 ,NA,NA,55700 ,0 ,0 ,0 ,0 ,NA,NA,11867 ,0 ,0 ,0 ,0 ,NA,NA,0 ,3400 ,0 ,0 ,0 ,NA,NA,148133 ,0 ,0 ,0 ,0 ,NA,NA,0 
5/23/17,Y,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2267 ,49600 ,0 ,0 ,55883 ,49600 ,51867 ,0 ,0 ,0 ,0 ,817 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,145600 ,0 ,0 ,205600 ,145600 ,145600 ,33800 ,189000 ,0 ,0 ,241167 ,189000 ,222800 ,65333 ,35533 ,0 ,0 ,32667 ,35533 ,100867 ,1000 ,135800 ,0 ,0 ,150433 ,135800 ,136800 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,124133 ,0 ,0 ,121875 ,124133 ,124133 ,52733 ,15400 ,0 ,0 ,11917 ,15400 ,68133 ,0 ,82333 ,0 ,0 ,91708 ,82333 ,82333 ,49100 ,55333 ,0 ,0 ,55700 ,55333 ,104433 ,0 ,10000 ,0 ,0 ,11867 ,10000 ,10000 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21867 ,121667 ,0 ,0 ,148133 ,121667 ,143533 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
5/24/17,N,0 ,0 ,0 ,0 ,,,0 ,52350 ,0 ,0 ,0 ,,,104217 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,,,145600 ,0 ,0 ,0 ,0 ,,,222800 ,4500 ,0 ,0 ,0 ,,,105367 ,0 ,0 ,0 ,0 ,,,136800 ,51467 ,0 ,0 ,0 ,,,51467 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,,,0 ,24150 ,0 ,0 ,0 ,,,148283 ,50000 ,0 ,0 ,0 ,,,118133 ,0 ,0 ,0 ,0 ,,,82333 ,22833 ,0 ,0 ,0 ,,,127267 ,0 ,0 ,0 ,0 ,,,10000 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,,,143533 ,59600 ,0 ,0 ,0 ,,,59600 
5/25/17,N,69750 ,0 ,0 ,0 ,,,69750 ,0 ,0 ,0 ,0 ,,,104217 ,10800 ,0 ,0 ,0 ,,,10800 ,76950 ,0 ,0 ,0 ,,,76950 ,0 ,0 ,0 ,0 ,,,145600 ,0 ,0 ,0 ,0 ,,,222800 ,0 ,0 ,0 ,0 ,,,105367 ,0 ,0 ,0 ,0 ,,,136800 ,26320 ,0 ,0 ,0 ,,,77787 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,,,0 ,31207 ,0 ,0 ,0 ,,,179490 ,3400 ,0 ,0 ,0 ,,,121533 ,0 ,0 ,0 ,0 ,,,82333 ,0 ,0 ,0 ,0 ,,,127267 ,0 ,0 ,0 ,0 ,,,10000 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,,,143533 ,0 ,0 ,0 ,0 ,,,59600 
5/26/17,Y,0 ,69867 ,0 ,0 ,69750 ,69867 ,69867 ,0 ,88000 ,0 ,0 ,104217 ,88000 ,88000 ,54367 ,12000 ,0 ,0 ,10800 ,12000 ,66367 ,35700 ,100100 ,0 ,0 ,76950 ,100100 ,135800 ,0 ,112000 ,0 ,0 ,145600 ,112000 ,112000 ,0 ,179400 ,0 ,0 ,222800 ,179400 ,179400 ,0 ,97600 ,0 ,0 ,105367 ,97600 ,97600 ,0 ,97600 ,0 ,0 ,136800 ,97600 ,97600 ,2800 ,71467 ,0 ,0 ,77787 ,71467 ,74267 ,44200 ,0 ,0 ,0 ,0 ,0 ,44200 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,86933 ,0 ,0 ,179490 ,86933 ,86933 ,10000 ,80000 ,0 ,0 ,121533 ,80000 ,90000 ,0 ,20667 ,0 ,0 ,82333 ,20667 ,20667 ,4267 ,71400 ,0 ,0 ,127267 ,71400 ,75667 ,0 ,0 ,0 ,0 ,10000 ,0 ,0 ,57867 ,62667 ,0 ,0 ,0 ,62667 ,120533 ,0 ,118400 ,0 ,0 ,143533 ,118400 ,118400 ,0 ,0 ,0 ,0 ,59600 ,0 ,0 
